goos: linux
goarch: amd64
pkg: github.com/0xsimulacra/int256
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz (OC ~ 3.7-4.4GHz)
BenchmarkRem/positive_negative/big-16            	10845260	       111.2 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/positive_negative/big-16            	10743949	       111.4 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/positive_negative/big-16            	10721786	       111.2 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/positive_negative/big-16            	10720299	       110.8 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	80006223	        14.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	79320456	        14.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	77768595	        14.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	79768701	        14.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	78458540	        15.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	34379846	        34.70 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	34881406	        34.69 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	34669954	        34.92 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	34083446	        35.13 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	32812501	        34.76 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_negative/int256-16         	78178345	        15.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_negative/int256-16         	75581452	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_negative/int256-16         	78349498	        14.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_negative/int256-16         	78227479	        14.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_negative/int256-16         	79643583	        15.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_negative/big-16            	33622826	        34.74 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_negative/big-16            	33814357	        35.29 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_negative/big-16            	34143859	        36.52 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_negative/big-16            	34370266	        34.94 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_negative/big-16            	34126902	        34.87 ns/op	       1 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_positive/int256-16         	10644434	       111.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_positive/int256-16         	10615062	       111.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_positive/int256-16         	10840753	       110.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_positive/int256-16         	10843078	       110.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_positive/int256-16         	10693810	       110.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_positive/big-16            	 4218534	       283.6 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_positive/big-16            	 4251547	       283.9 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_positive/big-16            	 4208092	       284.1 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_positive/big-16            	 4200799	       291.4 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_positive/big-16            	 4247482	       282.5 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_negative/int256-16         	10676342	       110.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_negative/int256-16         	10849010	       111.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_negative/int256-16         	10707608	       111.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_negative/int256-16         	10760365	       110.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_negative/int256-16         	10666186	       110.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMulDivOverflow/positive_negative/big-16            	 4235032	       282.4 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_negative/big-16            	 4246099	       284.7 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_negative/big-16            	 4253631	       282.5 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_negative/big-16            	 4192041	       279.7 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/positive_negative/big-16            	 4247911	       280.9 ns/op	     112 B/op	       1 allocs/op
BenchmarkMulDivOverflow/negative_positive/int256-16         	10683195	       108.4 ns/op	       0 B/op	       0 allocs/op
